ux_l,ux_r,uy_t,uy_b
 1.8590546340060746e-09, 3.7298122381833815e-09, 1.1444816274796911e-07, 1.1631373577525832e-07
 1.8096614566612838e-09, 3.6341413307324254e-09, 1.1264421159043162e-07, 1.1444816274796911e-07
 1.7735947227745147e-09, 3.542328797809411e-09, 1.1088743344568936e-07, 1.1264421159043162e-07
 1.7345947923994391e-09, 3.4567531306038735e-09, 1.0918294403249829e-07, 1.1088743344568936e-07
 1.6889304735365552e-09, 3.3696979448902847e-09, 1.0752287024131035e-07, 1.0918294403249829e-07
 1.6436147001367043e-09, 3.2774459833264923e-09, 1.0590238706793076e-07, 1.0752287024131035e-07
 1.5922050808674226e-09, 3.187042436453524e-09, 1.0433048044739345e-07, 1.0590238706793076e-07
 1.5443486775417487e-09, 3.1021385249913193e-09, 1.028040294221247e-07, 1.0433048044739345e-07
 1.5094604572273186e-09, 3.019918589195529e-09, 1.0130728196134858e-07, 1.028040294221247e-07
 1.4732069187709573e-09, 2.9481099057209602e-09, 9.985014678155871e-08, 1.0130728196134858e-07
 1.443335730389588e-09, 2.8796274885260598e-09, 9.842153205993208e-08, 9.985014678155871e-08
 1.4142012000984104e-09, 2.809886890786713e-09, 9.702339827036925e-08, 9.842153205993208e-08
 1.3752713738654244e-09, 2.747578165251013e-09, 9.567141985053569e-08, 9.702339827036925e-08
 1.3429520717962185e-09, 2.6818259903062613e-09, 9.434468425591113e-08, 9.567141985053569e-08
 1.311889728174414e-09, 2.6217751943407873e-09, 9.304625916106133e-08, 9.434468425591113e-08
 1.2813139433923671e-09, 2.567718827761159e-09, 9.177905874876076e-08, 9.304625916106133e-08
 1.2632056635930932e-09, 2.513202944227998e-09, 9.053049415291248e-08, 9.177905874876076e-08
 1.239268993908734e-09, 2.464110707486884e-09, 8.931484768753178e-08, 9.053049415291248e-08
 1.2135249662805513e-09, 2.4145208355802272e-09, 8.813028291638343e-08, 8.931484768753178e-08
 1.189093919509627e-09, 2.3644092221941313e-09, 8.696296361923034e-08, 8.813028291638343e-08
 1.1576279099331326e-09, 2.3171902498736536e-09, 8.582172650850752e-08, 8.696296361923034e-08
 1.1312102835757883e-09, 2.271362394957289e-09, 8.470012709235687e-08, 8.582172650850752e-08
 1.1121042581434132e-09, 2.2276666869393254e-09, 8.359430993986429e-08, 8.470012709235687e-08
 1.0916119287821414e-09, 2.1881616055547868e-09, 8.251694100298752e-08, 8.359430993986429e-08
 1.0766547461149013e-09, 2.148615442875497e-09, 8.145680141159933e-08, 8.251694100298752e-08
 1.0608321924037775e-09, 2.109626751137625e-09, 8.040905157209985e-08, 8.145680141159933e-08
 1.0358953565935039e-09, 2.0721794251178604e-09, 7.938154862487918e-08, 8.040905157209985e-08
 1.017009531251867e-09, 2.0332013134603072e-09, 7.83610642635172e-08, 7.938154862487918e-08
 9.93729959341335e-10, 1.9966398556441927e-09, 7.735795633987893e-08, 7.83610642635172e-08
 9.73520334779649e-10, 1.9617281719129796e-09, 7.63754256179668e-08, 7.735795633987893e-08
 9.615467383600026e-10, 1.9269777338878328e-09, 7.540296650824407e-08, 7.63754256179668e-08
 9.458251527195696e-10, 1.8957001701942953e-09, 7.44460989572686e-08, 7.540296650824407e-08
 9.324451111536381e-10, 1.86388051853395e-09, 7.349669008590967e-08, 7.44460989572686e-08
